time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.14104506462e-08,3.58620187608e-07,10.0074240463,0.00027951280833,6.93060665613e-05,0.0,-6.78926953712e-06,3.09123200625e-05,0.247446757188,0.0126439114912,0.00337081388795,0.0,480.898992167215,481.15418343615084,481.33023120722305,482.28592196804993
0.12000000000000001,-2.94147677901e-06,1.12507409215e-05,10.0259672198,0.000611407203144,0.000454399563101,0.0,-0.000120481296744,0.000396410900889,0.370626395784,-0.0151154661108,0.0119061566085,0.0,444.6252388111865,445.3237490482114,444.7134944252329,442.4342207082839
0.18,-2.13689056188e-05,4.34761221281e-05,10.0497354387,6.28276285912,0.00106650372401,0.0,-0.000556826089958,0.000586169564413,0.421629698587,-0.0218381574476,0.00655420552712,0.0,421.0021412445932,420.53877384321527,421.9663855782188,421.3857883643526
0.23999999999999996,-7.67451105024e-05,6.56876187955e-05,10.0767311128,6.28122133427,0.0012459102195,0.0,-0.0013175106469,1.92813769562e-05,0.47820354223,-0.0347984197934,-0.0053119756675,0.0,422.9917364884059,421.9687387704756,424.2681461672849,423.1539277550885
0.3,-0.000184369742926,1.04204838853e-05,10.1119300559,6.2794328318,0.000712836955833,0.0,-0.00222045046476,-0.00209069537735,0.694987078239,-0.0213393874919,-0.0172093904454,0.0,472.25086886467017,471.33253466595903,473.239939108637,474.2743816441915
0.36000000000000004,-0.000329008637872,-0.000202101488743,10.1578226376,6.27825565034,6.28288064433,0.0,-0.00249022220321,-0.00512534371371,0.834673101079,-0.0163851105181,-0.0164609071995,0.0,449.52343954399066,449.58416392009,449.91137571075603,450.31229876040175
0.4200000000000001,-0.00046913443206,-0.000607165037107,10.2094276995,6.27773429185,6.28197373115,0.0,-0.00209105145555,-0.00844473264631,0.885456933817,0.00343024833949,-0.0125513373304,0.0,421.87944509723405,422.216921928981,420.5388241143339,422.251590885608
0.48000000000000015,-0.000560528341356,-0.00124995643674,10.2700331878,6.27759095733,6.2810185004,0.0,-0.000851015913693,-0.0129719660521,1.13451234122,-0.0177753585052,-0.0236929858051,0.0,484.0027656236964,483.1637139907061,482.60600722105426,481.0030134525721
0.5400000000000001,-0.000548800158519,-0.00217771074313,10.3462882891,6.27671968972,6.27920948715,0.0,0.00144096217032,-0.0180741649146,1.40702838748,-0.00869931479509,-0.0479753051982,0.0,491.62847976054906,489.82590249504085,488.6587427174855,489.3348869806717
0.6000000000000002,-0.000365131863756,-0.00340332964892,10.4346779679,6.27676380255,6.27660016599,0.0,0.00497213111621,-0.0227992385163,1.53912400194,0.0149460055023,-0.0357611020728,0.0,447.52350585284313,448.515421230108,448.87051917831167,450.785131534631
0.6600000000000003,0.000100638702889,-0.00492125761099,10.533332821,6.27731455222,6.27424413187,0.0,0.0108163264423,-0.0277065897998,1.74907254182,-0.00601692382892,-0.04740791006,0.0,473.4236303076829,472.5260130314367,473.38888113828926,471.7731049767976
0.7200000000000003,0.000993688909158,-0.00673667447084,10.6464076198,6.27651454582,6.27148330518,0.0,0.01930425805,-0.032869678566,2.01964598547,-0.0349340217658,-0.0433627170975,0.0,490.91632548622135,491.21534048316045,491.81271565612,489.6664785594829
0.7800000000000004,0.00234571189623,-0.00882050942558,10.7658249115,6.27500389649,6.26865807955,0.0,0.0259765115739,-0.0367299310007,1.96102925687,-0.0106010483306,-0.0558278589108,0.0,388.52537591547053,387.35322739586053,386.0897417551629,388.3783043324163
0.8400000000000004,0.00423611941241,-0.0112061671892,10.8877398958,6.27437361029,6.26486239386,0.0,0.0374117131278,-0.0428583661271,2.1025472139,-0.0103129053568,-0.0854127439305,0.0,454.4795139581483,452.0990110760956,453.90051552077074,453.9237648496791
0.9000000000000005,0.00689258018687,-0.013968665487,11.0176184595,6.27349714471,6.2600868805,0.0,0.0516527714684,-0.0492997618105,2.22649341122,-0.0249929074363,-0.069949258913,0.0,448.40167649493054,449.6509419571665,449.03355014771773,447.8412318679253
0.9600000000000005,0.0104684336291,-0.0171256334801,11.1535083351,6.27192857597,6.25578380919,0.0,0.0679571552482,-0.056081932119,2.30300523447,-0.0285475828016,-0.0755107646397,0.0,434.7187502436206,434.24838989384796,434.2679821938404,433.9695632385665
1.0200000000000005,0.0151482669642,-0.0207373792218,11.2953576729,6.27027578717,6.25133098091,0.0,0.0885027709923,-0.0644835740363,2.42503794501,-0.02561618138,-0.0717398156665,0.0,449.09289592418,449.3944065576209,448.673078051573,448.9108190589122
1.0800000000000005,0.021082918561,-0.0248590905649,11.4423444257,6.26844408468,6.24768466178,0.0,0.109685381695,-0.0730621022658,2.47439851438,-0.0428158171692,-0.0448639902001,0.0,425.99664120942526,428.28548568743116,426.5204916752129,425.0486402375168
1.1400000000000006,0.0283697725961,-0.029541346792,11.5927608234,6.26580645765,6.24549646691,0.0,0.133436917674,-0.0832626987569,2.53932444605,-0.0463532870245,-0.0234917148736,0.0,430.8434842217805,432.6458885655941,431.9789502832695,431.679398050984
1.2000000000000006,0.0371672284407,-0.0349099454611,11.7483084055,6.26328932426,6.2443679437,0.0,0.159931258126,-0.095957512154,2.6453426684,-0.034352526159,-0.010788221222,0.0,444.5686333773845,445.6083193968051,444.8043433504067,445.7850475656112
1.2600000000000007,0.0475224435335,-0.041062814146,11.9088682177,6.26131628337,6.24394753005,0.0,0.185286849836,-0.109329203838,2.70649899787,-0.0300983819425,-0.000351730358571,0.0,431.3771490808956,432.2576336706372,430.9210273778728,431.28003054074287
